OCE_757291
Time,Resp,Rein,Eat,X,Y
0.00,0,0,0,-11.64,-2.34
0.52,0,0,0,0.00,-3.00
1.02,0,0,0,0.00,-3.00
1.54,0,0,0,0.00,-3.01
2.04,0,0,0,0.00,-3.01
2.55,0,0,0,0.01,-2.64
3.05,0,0,0,0.05,-1.19
3.55,0,0,0,0.05,-1.20
4.06,0,0,0,0.06,-1.20
4.57,0,0,0,0.06,-1.21
5.07,0,0,0,0.06,-1.21
5.58,0,0,0,0.06,-1.20
6.08,0,0,0,0.06,-0.79
6.60,0,0,0,0.03,-0.79
7.10,1,0,0,0.35,-1.15
7.61,2,0,0,0.02,-1.52
8.12,2,0,0,0.00,-1.52
8.64,2,0,0,-0.26,-1.14
9.14,2,0,0,-0.35,-0.79
9.65,3,0,0,-0.36,-0.80
10.15,3,0,0,-0.34,-0.79
10.65,4,0,0,0.16,-1.24
11.16,4,0,0,0.25,-1.35
11.67,4,0,0,0.25,-1.35
12.17,4,0,0,0.31,-1.73
12.68,4,0,0,0.54,-1.94
13.18,4,0,0,1.77,-1.47
13.68,4,0,0,1.86,-0.93
14.18,4,0,0,1.93,-0.73
14.69,4,0,0,1.96,-0.50
15.21,4,0,0,2.35,-1.10
15.72,4,0,0,2.35,-1.10
16.22,4,0,0,2.35,-1.10
16.73,4,0,0,1.81,-1.76
17.23,4,0,0,0.44,-1.41
17.73,4,0,0,0.36,-0.79
18.25,4,0,0,0.36,-0.79
18.76,6,0,0,0.26,-1.52
19.26,6,0,0,-0.32,-0.86
19.76,6,0,0,-0.32,-0.85
20.28,6,0,0,0.03,-1.09
20.79,6,0,0,0.68,-1.28
21.29,6,0,0,0.11,-2.35
21.79,6,0,0,-0.43,-2.22
22.29,6,0,0,-0.31,-1.21
22.79,6,0,0,-0.15,-0.79
23.30,6,0,0,-0.15,-0.79
23.80,6,0,0,-0.14,-0.79
24.32,7,0,0,-0.19,-1.57
24.83,7,0,0,-0.19,-1.57
25.34,7,0,0,-0.99,-2.07
25.84,7,0,0,-1.72,-0.77
26.35,7,0,0,-1.78,-0.58
26.86,7,0,0,-1.48,-0.89
27.36,7,0,0,-1.43,-0.91
27.87,7,0,0,-1.56,-0.64
28.39,7,0,0,-1.56,-0.65
28.89,7,0,0,-1.56,-0.64
29.39,7,0,0,-1.57,-0.64
29.90,7,0,0,-1.37,-0.95
30.40,7,0,0,-0.50,-1.33
30.90,7,0,0,0.12,-0.82
31.42,7,0,0,0.12,-0.82
31.93,7,0,0,0.11,-0.82
32.44,8,0,0,0.29,-1.12
32.96,9,0,0,-0.62,-2.13
33.47,9,0,0,-1.13,-1.12
33.97,9,0,0,-1.06,-1.15
34.47,9,0,0,0.30,-1.30
34.99,9,0,0,0.29,-0.90
35.49,9,0,0,0.24,-0.86
36.00,11,2,0,0.38,-1.32
36.51,11,2,0,0.38,-1.33
37.02,11,2,0,0.18,-2.55
37.54,11,2,0,-1.24,-2.85
38.04,11,2,0,-1.25,-1.38
38.54,11,2,0,-1.96,-0.38
39.05,11,2,0,-2.02,-0.38
39.57,11,2,1,-2.07,-0.38
40.08,11,2,1,-2.01,-0.50
40.58,11,2,1,-0.70,-0.78
41.09,11,2,1,-0.44,-0.79
41.61,11,2,1,-0.36,-0.79
42.11,11,2,1,-0.36,-0.80
42.62,13,2,1,-0.01,-1.46
43.14,13,2,1,-0.08,-1.38
43.65,13,2,1,-1.01,-0.60
44.16,13,2,1,-0.64,-1.02
44.66,13,2,1,-0.31,-1.42
45.18,13,2,1,0.19,-2.13
45.68,14,2,1,-0.25,-0.91
46.18,14,2,1,-0.41,-0.79
46.69,15,2,1,-0.38,-0.81
47.20,16,2,1,-0.10,-0.79
47.71,16,2,1,-0.20,-0.79
48.21,18,2,1,0.23,-1.17
48.71,19,2,1,0.10,-1.02
49.22,20,2,1,0.01,-0.83
49.72,20,2,1,0.02,-0.84
50.23,20,2,1,0.04,-0.80
50.73,21,3,1,0.10,-0.93
51.25,22,4,1,0.38,-1.40
51.76,22,4,1,0.38,-1.40
52.26,22,4,1,-0.32,-2.00
52.76,22,4,1,-1.40,-0.93
53.26,22,4,1,-2.04,-0.37
53.78,22,4,1,-1.98,-0.37
54.28,22,4,2,-2.09,-0.37
54.79,22,4,2,-1.82,-0.80
55.29,22,4,2,-0.55,-0.79
55.80,22,4,2,-0.22,-0.92
56.31,22,4,2,-0.21,-0.93
56.82,22,4,2,-0.10,-1.27
57.32,22,4,2,-0.10,-1.28
57.82,22,4,2,-0.07,-0.92
58.33,22,4,2,-0.06,-0.80
58.84,23,4,2,0.11,-1.05
59.35,24,4,2,0.27,-1.08
59.86,24,4,2,0.16,-0.83
60.37,24,4,2,0.03,-0.79
60.87,26,4,2,0.37,-1.26
61.39,26,4,2,0.36,-1.26
61.89,28,4,2,-0.32,-0.79
62.39,28,4,2,-0.45,-0.79
62.90,28,4,2,-0.12,-1.28
63.40,28,4,2,-0.12,-1.28
63.92,28,4,2,0.24,-0.79
64.43,29,4,2,0.25,-0.79
64.93,30,4,2,0.33,-0.79
65.43,30,4,2,0.39,-0.79
65.94,31,4,2,-0.15,-1.18
66.44,31,4,2,-0.36,-0.91
66.96,32,5,2,-0.43,-0.79
67.47,32,5,2,-0.49,-0.85
67.98,32,5,2,-1.89,-0.37
68.49,32,5,3,-1.89,-0.37
68.99,32,5,3,-1.82,-0.45
69.51,32,5,3,-0.81,-0.78
70.02,32,5,3,-0.64,-0.79
70.52,32,5,3,-0.53,-1.30
71.02,32,5,3,-0.44,-1.40
71.52,33,5,3,-0.52,-0.79
72.04,33,5,3,-0.27,-1.24
72.54,34,5,3,-0.12,-1.41
73.04,34,5,3,-0.13,-1.30
73.54,35,5,3,-0.57,-0.79
74.05,35,5,3,-0.25,-1.10
74.55,35,5,3,-0.17,-0.79
75.07,36,5,3,0.13,-1.09
75.58,37,5,3,0.43,-1.52
76.08,37,5,3,0.26,-0.79
76.60,37,5,3,0.26,-0.79
77.10,37,5,3,0.31,-0.79
77.61,38,5,3,0.13,-1.82
78.11,38,5,3,0.13,-1.82
78.61,38,5,3,0.13,-1.81
79.12,38,5,3,0.14,-1.81
79.62,38,5,3,0.24,-0.79
80.14,38,5,3,0.24,-0.79
80.65,38,5,3,0.23,-0.80
81.15,40,5,3,0.59,-1.22
81.66,40,5,3,0.25,-1.73
82.16,40,5,3,-0.35,-0.80
82.68,40,5,3,-0.40,-1.07
83.19,40,5,3,-0.35,-1.16
83.69,40,5,3,0.08,-1.56
84.19,41,5,3,0.46,-0.79
84.71,41,5,3,0.46,-0.79
85.22,42,6,3,0.65,-1.46
85.72,42,6,3,0.65,-1.46
86.23,42,6,3,0.44,-2.40
86.75,42,6,3,-0.10,-2.67
87.25,42,6,3,-0.38,-2.10
87.75,42,6,3,-1.30,-0.91
88.25,42,6,4,-2.18,-0.37
88.75,42,6,4,-2.07,-0.72
89.26,42,6,4,-0.82,-1.12
89.76,42,6,4,-0.37,-1.02
90.27,42,6,4,-0.31,-1.43
90.79,42,6,4,-0.06,-1.32
91.29,43,6,4,-0.07,-1.44
91.80,43,6,4,-0.15,-1.25
92.30,44,6,4,-0.04,-1.21
92.82,44,6,4,-0.06,-1.30
93.32,45,6,4,-0.02,-0.95
93.82,46,6,4,0.04,-1.14
94.32,46,6,4,-0.05,-0.91
94.82,47,6,4,0.03,-1.11
95.33,49,6,4,0.11,-1.26
95.83,49,6,4,0.11,-1.26
96.35,49,6,4,0.11,-1.26
96.86,49,6,4,0.11,-1.26
97.36,49,6,4,-0.15,-0.79
97.87,51,6,4,-0.05,-1.38
98.39,51,6,4,-0.04,-1.38
98.89,51,6,4,-0.37,-0.79
99.40,52,7,4,-0.28,-1.24
99.91,52,7,4,-0.28,-1.23
100.41,53,8,4,-1.20,-1.15
100.93,53,8,4,-2.00,-0.37
101.43,53,8,5,-2.16,-0.37
101.94,53,8,5,-2.15,-1.31
102.46,53,8,5,-1.29,-0.62
102.97,53,8,5,-0.44,-1.06
103.47,54,8,5,-0.44,-0.79
103.98,54,8,5,-0.37,-1.09
104.48,55,8,5,-0.36,-0.92
104.98,55,8,5,-0.40,-0.79
105.48,55,8,5,-0.39,-0.88
106.00,57,8,5,-0.34,-1.29
106.50,57,8,5,-0.22,-0.79
107.01,59,8,5,-0.17,-0.98
107.53,60,8,5,-0.04,-1.41
108.04,60,8,5,-0.04,-1.42
108.55,60,8,5,0.13,-1.78
109.05,60,8,5,-0.11,-0.97
109.57,62,8,5,0.03,-1.33
110.07,62,8,5,0.04,-1.30
110.58,62,8,5,-0.05,-1.01
111.10,63,9,5,-0.05,-1.00
111.61,63,9,5,-0.06,-1.00
112.11,64,10,5,-0.58,-0.93
112.61,64,10,5,-1.92,-0.37
113.12,64,10,6,-2.09,-0.37
113.64,64,10,6,-1.96,-0.37
114.14,64,10,6,-1.39,-1.22
114.65,64,10,6,-1.04,-0.41
115.15,64,10,6,-1.10,-0.95
115.66,64,10,6,-0.44,-1.52
116.16,64,10,6,-0.52,-1.32
116.68,65,10,6,-0.82,-0.78
117.18,65,10,6,-0.81,-0.78
117.69,66,10,6,-0.52,-1.21
118.19,67,10,6,0.11,-0.79
118.69,67,10,6,0.11,-0.79
119.20,67,10,6,-0.13,-0.79
119.72,68,10,6,0.02,-0.89
120.22,68,10,6,0.01,-0.89
120.73,70,10,6,0.24,-1.21
121.25,70,10,6,0.02,-0.95
121.75,71,10,6,-0.20,-0.79
122.26,71,10,6,-0.21,-0.79
122.77,71,10,6,-0.60,-0.78
123.28,72,10,6,-0.32,-1.05
123.79,72,10,6,-0.40,-0.79
124.29,73,10,6,-0.19,-1.15
124.79,73,10,6,0.01,-0.79
125.30,75,12,6,0.29,-1.30
125.82,75,12,6,0.31,-1.49
126.33,75,12,6,0.01,-1.28
126.84,76,13,6,-1.23,-0.47
127.34,76,13,6,-2.00,-0.37
127.85,76,13,6,-1.82,-0.37
128.35,76,13,6,-1.83,-0.37
128.85,76,13,6,-2.00,-0.37
129.36,76,13,7,-2.29,-0.37
129.87,76,13,7,-2.04,-1.21
130.38,76,13,7,-1.00,-1.78
130.89,76,13,7,-0.48,-0.79
131.39,77,13,7,-0.15,-0.78
131.90,78,13,7,-0.32,-1.13
132.40,78,13,7,-0.22,-0.80
132.91,79,13,7,-0.15,-1.03
133.41,79,13,7,-0.20,-0.79
133.92,80,13,7,-0.16,-1.14
134.43,80,13,7,-0.21,-0.79
134.94,80,13,7,-0.21,-0.79
135.44,82,13,7,-0.22,-0.79
135.96,82,13,7,-0.13,-0.79
136.46,83,13,7,-0.18,-1.04
136.97,83,13,7,-0.29,-1.24
137.48,84,13,7,-1.04,-0.41
138.00,84,13,7,-0.87,-0.90
138.51,84,13,7,-0.62,-0.94
139.01,84,13,7,-0.69,-0.79
139.52,85,13,7,-0.47,-1.15
140.02,85,13,7,-0.53,-0.80
140.54,86,14,7,-0.53,-0.79
141.05,86,14,7,-0.53,-0.79
141.55,87,15,7,-0.66,-0.78
142.06,87,15,7,-2.03,-0.37
142.57,87,15,7,-2.03,-0.37
143.07,87,15,8,-2.15,-0.37
143.58,87,15,8,-2.24,-0.37
144.09,87,15,8,-1.88,-1.78
144.59,87,15,8,-0.64,-1.61
145.10,87,15,8,-0.31,-1.23
145.61,87,15,8,-0.31,-1.24
146.13,87,15,8,-0.30,-1.24
146.64,87,15,8,-0.39,-0.91
147.14,87,15,8,-0.47,-0.79
147.65,88,15,8,-0.47,-0.79
148.15,88,15,8,-0.34,-0.79
148.67,89,15,8,-0.19,-1.45
149.18,89,15,8,-0.19,-1.45
149.69,89,15,8,0.08,-1.82
150.19,89,15,8,0.08,-0.99
150.69,89,15,8,0.08,-0.99
