OCE_208178
Time,Resp,Rein,Eat,X,Y
0.00,0,0,0,-11.60,-1.30
0.52,0,0,0,0.00,-3.00
1.02,0,0,0,0.02,-3.02
1.52,0,0,0,0.07,-3.07
2.03,0,0,0,0.11,-3.10
2.54,0,0,0,0.12,-3.14
3.04,0,0,0,0.12,-3.19
3.56,0,0,0,0.11,-3.21
4.06,0,0,0,0.15,-2.92
4.56,0,0,0,-0.21,-1.47
5.06,0,0,0,-0.24,-1.26
5.58,0,0,0,-0.51,-0.87
6.08,0,0,0,-0.52,-0.80
6.58,0,0,0,-0.51,-0.80
7.09,0,0,0,-0.49,-1.37
7.60,0,0,0,-0.48,-1.37
8.10,0,0,0,-0.71,-0.96
8.62,0,0,0,-0.39,-0.78
9.12,1,0,0,0.64,-1.62
9.63,1,0,0,0.29,-2.33
10.13,1,0,0,-0.18,-1.27
10.63,1,0,0,-0.21,-1.07
11.15,1,0,0,-0.47,-0.79
11.66,2,0,0,-0.47,-0.79
12.16,2,0,0,-0.47,-0.79
12.67,3,0,0,-0.47,-0.80
13.19,4,0,0,-0.48,-0.81
13.69,4,0,0,-0.48,-0.82
14.19,4,0,0,-0.48,-0.83
14.69,5,0,0,0.21,-0.78
15.20,5,0,0,0.98,-1.29
15.70,5,0,0,0.59,-1.34
16.20,5,0,0,0.51,-1.12
16.70,5,0,0,0.21,-0.79
17.22,5,0,0,0.21,-0.79
17.72,6,0,0,0.90,-1.43
18.22,6,0,0,0.69,-2.79
18.73,6,0,0,0.73,-4.18
19.23,6,0,0,-0.53,-3.44
19.74,6,0,0,-1.27,-2.10
20.24,6,0,0,-1.80,-0.75
20.74,6,0,0,-1.57,-0.37
21.26,6,0,0,-1.60,-0.37
21.76,6,0,0,-0.79,-1.41
22.26,6,0,0,0.05,-1.35
22.76,6,0,0,0.35,-0.80
23.26,7,0,0,0.36,-0.81
23.77,7,0,0,0.37,-0.82
24.28,8,0,0,0.35,-1.77
24.78,8,0,0,1.45,-1.13
25.28,8,0,0,1.62,-0.65
25.78,8,0,0,1.79,-0.97
26.28,8,0,0,1.69,-0.55
26.80,8,0,0,1.95,-0.84
27.31,8,0,0,1.94,-0.84
27.81,8,0,0,1.94,-0.82
28.33,8,0,0,1.94,-0.80
28.84,8,0,0,1.92,-0.77
29.35,8,0,0,1.96,-0.81
29.87,8,0,0,1.99,-1.72
30.38,8,0,0,1.45,-2.21
30.88,8,0,0,0.64,-1.67
31.38,8,0,0,0.37,-0.79
31.90,9,0,0,0.38,-0.79
32.41,9,0,0,0.38,-0.80
32.96,10,1,0,0.38,-0.80
33.48,11,2,0,0.42,-0.85
34.00,11,2,0,0.55,-1.76
34.51,11,2,0,-0.93,-1.33
35.01,11,2,0,-1.73,-0.59
35.52,11,2,1,-2.54,-0.36
36.04,11,2,1,-1.22,-0.60
36.55,11,2,1,-0.63,-1.18
37.06,12,2,1,-0.38,-0.80
37.56,12,2,1,-0.39,-0.81
38.07,12,2,1,-0.40,-0.82
38.57,12,2,1,-0.39,-0.83
39.07,12,2,1,-0.37,-0.84
39.57,12,2,1,-0.36,-0.85
40.07,13,2,1,-0.32,-0.97
40.58,13,2,1,-0.31,-0.97
41.08,13,2,1,-0.47,-0.91
41.58,13,2,1,-0.43,-0.78
42.09,13,2,1,0.51,-0.80
42.59,14,2,1,0.51,-0.79
43.10,15,2,1,0.50,-0.79
43.62,15,2,1,0.49,-0.79
44.13,16,2,1,0.47,-0.80
44.63,17,2,1,0.45,-0.81
45.14,18,2,1,0.44,-0.81
45.66,18,2,1,0.40,-0.81
46.16,19,2,1,0.40,-0.82
46.67,20,2,1,0.35,-0.80
47.19,21,3,1,0.34,-0.79
47.69,22,4,1,0.34,-0.79
48.19,23,5,1,0.31,-0.78
48.70,24,6,1,0.30,-0.78
49.21,25,6,1,0.85,-1.32
49.73,25,6,1,-0.47,-1.43
50.25,25,6,1,-1.73,-0.53
50.76,25,6,2,-2.18,-0.37
51.27,25,6,2,-1.13,-1.25
51.77,25,6,2,-0.17,-1.31
52.27,25,6,2,-0.30,-0.79
52.78,26,6,2,-0.29,-0.80
53.28,27,6,2,-0.30,-0.81
53.80,28,6,2,-0.30,-0.82
54.30,29,6,2,-0.30,-0.83
54.80,29,6,2,-0.28,-0.83
55.30,30,6,2,-0.26,-0.82
55.81,31,6,2,-0.25,-0.82
56.32,32,6,2,-0.25,-0.82
56.82,33,6,2,-0.25,-0.82
57.33,33,6,2,-0.25,-0.82
57.84,34,6,2,-0.25,-0.82
58.35,35,7,2,-0.26,-0.82
58.87,36,8,2,-0.21,-1.49
59.37,36,8,2,-1.42,-1.04
59.87,36,8,3,-2.20,-0.37
60.37,36,8,3,-1.74,-0.62
60.88,36,8,3,-0.48,-1.49
61.38,37,8,3,-0.60,-0.79
61.89,37,8,3,-0.58,-0.80
62.40,38,8,3,-0.45,-1.00
62.91,38,8,3,0.11,-1.52
63.41,38,8,3,-0.14,-0.82
63.92,39,8,3,-0.12,-0.83
64.42,39,8,3,-0.12,-0.83
64.92,40,8,3,-0.12,-0.83
65.44,40,8,3,-0.12,-0.83
65.95,41,8,3,-0.13,-0.84
66.45,41,8,3,-0.13,-0.84
66.95,42,8,3,-0.12,-0.84
67.45,42,8,3,-0.12,-0.84
67.97,43,8,3,-0.11,-0.84
68.48,43,8,3,-0.11,-0.84
68.98,44,8,3,-0.12,-0.84
69.49,45,8,3,-0.14,-0.84
70.00,45,8,3,-0.16,-0.85
70.51,46,9,3,-0.24,-0.88
71.01,46,9,3,-1.39,-1.66
71.51,46,9,3,-2.24,-0.55
72.02,46,9,4,-2.38,-0.38
72.52,46,9,4,-1.73,-1.58
73.03,46,9,4,-0.35,-1.14
73.53,46,9,4,0.02,-0.90
74.03,47,9,4,0.03,-0.92
74.53,48,9,4,0.04,-0.94
75.05,48,9,4,0.05,-0.94
75.55,49,9,4,0.06,-0.95
76.06,50,9,4,0.06,-0.95
76.56,51,9,4,0.06,-0.96
77.08,51,9,4,0.05,-0.96
77.59,52,9,4,0.05,-0.96
78.09,53,9,4,0.06,-0.97
78.59,53,9,4,0.09,-0.99
79.10,53,9,4,0.11,-1.01
79.62,53,9,4,0.13,-1.03
80.12,54,9,4,0.14,-1.04
80.62,54,9,4,0.14,-1.02
81.12,55,9,4,0.12,-0.97
81.63,56,10,4,0.11,-0.95
82.13,56,10,4,-0.16,-0.98
82.64,56,10,4,-1.35,-1.36
83.14,56,10,5,-2.37,-0.37
83.65,56,10,5,-1.97,-0.88
84.16,56,10,5,-0.63,-1.52
84.66,56,10,5,-0.65,-0.79
85.17,56,10,5,-0.48,-0.79
85.68,57,10,5,0.47,-1.38
86.19,57,10,5,0.20,-0.83
86.69,57,10,5,0.18,-0.80
87.19,58,10,5,0.19,-0.81
87.70,59,10,5,0.19,-0.81
88.20,60,10,5,0.19,-0.82
88.71,60,10,5,0.19,-0.82
89.23,60,10,5,0.17,-0.82
89.73,61,10,5,0.15,-0.82
90.24,61,10,5,0.14,-0.83
90.74,62,10,5,0.14,-0.84
