OCE_607272
Time,Resp,Rein,Eat,X,Y
0.00,0,0,0,-10.74,-1.41
0.51,0,0,0,0.00,-3.00
1.02,0,0,0,0.00,-3.00
1.53,0,0,0,0.01,-3.00
2.04,0,0,0,0.02,-3.00
2.56,0,0,0,0.08,-2.18
3.06,0,0,0,0.11,-1.26
3.56,0,0,0,0.11,-0.85
4.06,0,0,0,0.23,-1.33
4.57,0,0,0,0.35,-1.37
5.07,0,0,0,-0.26,-0.91
5.59,0,0,0,0.27,-1.56
6.10,0,0,0,-0.22,-0.82
6.60,0,0,0,-0.97,-0.69
7.12,0,0,0,-0.12,-1.85
7.62,0,0,0,-0.27,-0.85
8.12,0,0,0,-0.24,-0.98
8.63,0,0,0,0.14,-2.02
9.14,0,0,0,0.48,-2.59
9.64,0,0,0,0.51,-2.68
10.14,0,0,0,0.21,-1.79
10.65,0,0,0,-0.10,-0.79
11.16,0,0,0,0.20,-1.44
11.66,0,0,0,0.19,-1.40
12.17,0,0,0,-0.31,-0.83
12.69,0,0,0,-1.15,-1.82
13.20,0,0,0,-1.14,-1.75
13.70,0,0,0,-0.70,-1.56
14.20,0,0,0,-0.69,-1.55
14.70,0,0,0,-0.67,-1.54
15.22,0,0,0,-0.37,-0.80
15.72,0,0,0,-0.36,-0.81
16.23,1,0,0,-0.36,-0.82
16.74,1,0,0,0.10,-1.93
17.25,1,0,0,-0.99,-1.95
17.76,1,0,0,-0.45,-1.21
18.26,1,0,0,-0.45,-1.22
18.77,1,0,0,-0.08,-1.26
19.27,1,0,0,-0.26,-0.79
19.78,2,0,0,-0.26,-0.79
20.30,2,0,0,0.03,-1.65
20.80,2,0,0,-0.09,-1.07
21.30,2,0,0,-0.18,-0.79
21.81,3,0,0,0.14,-1.20
22.31,3,0,0,0.17,-1.27
22.83,3,0,0,0.17,-1.27
23.33,3,0,0,-0.18,-0.79
23.84,4,0,0,0.26,-1.26
24.34,4,0,0,-0.06,-0.83
24.85,4,0,0,0.01,-1.97
25.35,4,0,0,-0.40,-1.48
25.85,4,0,0,-0.47,-0.79
26.37,5,0,0,-0.49,-0.79
26.87,5,0,0,0.14,-1.67
27.38,5,0,0,-0.16,-0.85
27.88,6,0,0,-0.03,-0.99
28.39,6,0,0,0.40,-2.28
28.89,6,0,0,-0.11,-2.38
29.40,6,0,0,-0.27,-0.90
29.90,7,0,0,-0.27,-0.79
30.41,7,0,0,0.31,-1.41
30.91,7,0,0,0.30,-1.43
31.42,7,0,0,0.30,-1.45
31.92,7,0,0,0.28,-2.13
32.42,7,0,0,-0.21,-1.47
32.92,7,0,0,-0.41,-0.83
33.42,7,0,0,-0.36,-0.79
33.92,8,0,0,-0.04,-0.92
34.44,8,0,0,0.57,-1.78
34.94,8,0,0,-0.34,-0.88
35.44,9,0,0,-0.56,-0.79
35.95,9,0,0,-0.17,-1.40
36.46,9,0,0,-0.45,-2.38
36.98,9,0,0,-0.61,-1.55
